,ID_REUNION,TIEMPO_inicio,TIPO_EVENTO_inicio,TIEMPO_ESTIMADO_ORADOR,TIEMPO_fin,TIPO_EVENTO_fin,DURACION,DIFERENCIA_ESTIMADO,DIPUTADO,BLOQUE
100,494,2025-02-12 19:15:53,INICIO_ORADOR,300,2025-02-12 19:18:27,FIN_ORADOR,2.566666666666667,-297.43333333333334,Diputado 48,Bloque 09
101,494,2025-02-12 22:03:34,INICIO_ORADOR,300,2025-02-12 22:10:21,FIN_ORADOR,6.783333333333333,-293.21666666666664,Diputado 49,Bloque 02
102,494,2025-02-12 14:59:51,INICIO_ORADOR,240,2025-02-12 15:03:35,FIN_ORADOR,3.7333333333333334,-236.26666666666668,Diputado 50,Bloque 10
103,494,2025-02-12 14:59:51,INICIO_ORADOR,240,2025-02-12 22:53:39,FIN_ORADOR,473.8,233.8,Diputado 50,Bloque 10
105,494,2025-02-12 22:51:38,INICIO_ORADOR,300,2025-02-12 22:53:39,FIN_ORADOR,2.0166666666666666,-297.98333333333335,Diputado 50,Bloque 10
106,494,2025-02-12 18:12:20,INICIO_ORADOR,300,2025-02-12 18:18:42,FIN_ORADOR,6.366666666666666,-293.6333333333333,Diputado 51,Bloque 02
107,494,2025-02-12 19:24:59,INICIO_ORADOR,300,2025-02-12 19:29:09,FIN_ORADOR,4.166666666666667,-295.8333333333333,Diputado 52,Bloque 04
108,494,2025-02-12 13:50:35,INICIO_ORADOR,300,2025-02-12 13:55:48,FIN_ORADOR,5.216666666666667,-294.78333333333336,Diputado 53,Bloque 04
109,494,2025-02-12 13:50:35,INICIO_ORADOR,300,2025-02-12 18:00:22,FIN_ORADOR,249.78333333333333,-50.21666666666667,Diputado 53,Bloque 04
111,494,2025-02-12 17:55:43,INICIO_ORADOR,300,2025-02-12 18:00:22,FIN_ORADOR,4.65,-295.35,Diputado 53,Bloque 04
112,494,2025-02-12 16:44:54,INICIO_ORADOR,300,2025-02-12 16:48:44,FIN_ORADOR,3.8333333333333335,-296.1666666666667,Diputado 54,Bloque 02
113,494,2025-02-12 12:54:35,INICIO_ORADOR,300,2025-02-12 12:54:38,PAUSA_ORADOR,0.05,-299.95,Diputado 55,Bloque 05
114,494,2025-02-12 12:54:35,INICIO_ORADOR,300,2025-02-12 13:01:02,FIN_ORADOR,6.45,-293.55,Diputado 55,Bloque 05
115,494,2025-02-12 12:54:35,INICIO_ORADOR,300,2025-02-12 18:41:58,FIN_ORADOR,347.3833333333333,47.383333333333326,Diputado 55,Bloque 05
117,494,2025-02-12 12:56:03,INICIO_ORADOR,300,2025-02-12 13:01:02,FIN_ORADOR,4.983333333333333,-295.01666666666665,Diputado 55,Bloque 05
118,494,2025-02-12 12:56:03,INICIO_ORADOR,300,2025-02-12 18:41:58,FIN_ORADOR,345.9166666666667,45.916666666666686,Diputado 55,Bloque 05
121,494,2025-02-12 18:35:34,INICIO_ORADOR,300,2025-02-12 18:41:58,FIN_ORADOR,6.4,-293.6,Diputado 55,Bloque 05
122,494,2025-02-12 19:34:34,INICIO_ORADOR,300,2025-02-12 19:40:03,FIN_ORADOR,5.483333333333333,-294.51666666666665,Diputado 56,Bloque 05
123,494,2025-02-12 20:59:48,INICIO_ORADOR,300,2025-02-12 21:05:31,FIN_ORADOR,5.716666666666667,-294.28333333333336,Diputado 57,Bloque 11
124,494,2025-02-12 21:10:42,INICIO_ORADOR,300,2025-02-12 21:18:22,FIN_ORADOR,7.666666666666667,-292.3333333333333,Diputado 58,Bloque 02
125,494,2025-02-12 17:16:17,INICIO_ORADOR,300,2025-02-12 17:19:46,FIN_ORADOR,3.4833333333333334,-296.51666666666665,Diputado 59,Bloque 02
126,494,2025-02-12 14:16:20,INICIO_ORADOR,300,2025-02-12 14:20:19,FIN_ORADOR,3.9833333333333334,-296.01666666666665,Diputado 60,Bloque 05
127,494,2025-02-12 15:17:47,INICIO_ORADOR,600,2025-02-12 15:28:21,FIN_ORADOR,10.566666666666666,-589.4333333333333,Diputado 61,Bloque 08
128,494,2025-02-12 20:41:55,INICIO_ORADOR,300,2025-02-12 20:49:38,FIN_ORADOR,7.716666666666667,-292.28333333333336,Diputado 62,Bloque 02
129,494,2025-02-12 20:38:33,INICIO_ORADOR,300,2025-02-12 20:41:48,FIN_ORADOR,3.25,-296.75,Diputado 63,Bloque 09
130,494,2025-02-12 19:55:32,INICIO_ORADOR,300,2025-02-12 19:59:02,FIN_ORADOR,3.5,-296.5,Diputado 64,Bloque 09
131,494,2025-02-12 17:48:38,INICIO_ORADOR,300,2025-02-12 17:55:35,FIN_ORADOR,6.95,-293.05,Diputado 65,Bloque 02
132,494,2025-02-12 13:14:38,INICIO_ORADOR,300,2025-02-12 13:18:42,FIN_ORADOR,4.066666666666666,-295.93333333333334,Diputado 66,Bloque 02
133,494,2025-02-12 22:18:47,INICIO_ORADOR,300,2025-02-12 22:27:14,FIN_ORADOR,8.45,-291.55,Diputado 67,Bloque 02
134,494,2025-02-12 14:32:08,INICIO_ORADOR,300,2025-02-12 14:35:15,FIN_ORADOR,3.1166666666666667,-296.8833333333333,Diputado 68,Bloque 12
135,494,2025-02-12 12:36:47,INICIO_ORADOR,360,2025-02-12 12:43:20,FIN_ORADOR,6.55,-353.45,Diputado 69,Bloque 06
136,494,2025-02-12 12:36:47,INICIO_ORADOR,360,2025-02-12 22:33:36,FIN_ORADOR,596.8166666666667,236.81666666666672,Diputado 69,Bloque 06
138,494,2025-02-12 22:27:24,INICIO_ORADOR,300,2025-02-12 22:33:36,FIN_ORADOR,6.2,-293.8,Diputado 69,Bloque 06
139,494,2025-02-12 13:56:02,INICIO_ORADOR,300,2025-02-12 14:01:38,FIN_ORADOR,5.6,-294.4,Diputado 70,Bloque 02
140,494,2025-02-12 21:31:38,INICIO_ORADOR,300,2025-02-12 21:31:43,PAUSA_ORADOR,0.08333333333333333,-299.9166666666667,Diputado 71,Bloque 04
141,494,2025-02-12 21:31:38,INICIO_ORADOR,300,2025-02-12 21:35:56,FIN_ORADOR,4.3,-295.7,Diputado 71,Bloque 04
143,494,2025-02-12 21:32:01,INICIO_ORADOR,300,2025-02-12 21:35:56,FIN_ORADOR,3.9166666666666665,-296.0833333333333,Diputado 71,Bloque 04
144,494,2025-02-12 20:14:28,INICIO_ORADOR,300,2025-02-12 20:19:15,FIN_ORADOR,4.783333333333333,-295.21666666666664,Diputado 72,Bloque 02
145,494,2025-02-12 19:59:13,INICIO_ORADOR,300,2025-02-12 20:02:24,FIN_ORADOR,3.183333333333333,-296.81666666666666,Diputado 73,Bloque 02
146,494,2025-02-12 11:09:21,INICIO_ORADOR,300,2025-02-12 11:13:40,FIN_ORADOR,4.316666666666666,-295.68333333333334,Diputado 74,Bloque 08
147,494,2025-02-12 11:09:21,INICIO_ORADOR,300,2025-02-12 12:06:25,FIN_ORADOR,57.06666666666667,-242.93333333333334,Diputado 74,Bloque 08
149,494,2025-02-12 11:57:56,INICIO_ORADOR,360,2025-02-12 12:06:25,FIN_ORADOR,8.483333333333333,-351.51666666666665,Diputado 74,Bloque 08
150,494,2025-02-12 15:47:49,INICIO_ORADOR,300,2025-02-12 15:53:26,FIN_ORADOR,5.616666666666666,-294.3833333333333,Diputado 75,Bloque 04
